반복 회차 (Iteration),주문 번호 (k),도착 시간 (t_k),작업 수량 (n_k),할당 랙 (r),할당 CP (c),완료 시간 (E_k)
7,10,49.1,1,4,72,57.23
7,11,66.62,1,5,75,73.39
7,12,75.55000000000001,1,3,45,81.12
7,13,76.75,1,0,5,83.3
7,14,77.75,1,1,26,85.88
7,15,78.76,1,3,58,87.75
7,16,80.58000000000001,1,1,19,92.91
7,17,84.30000000000001,1,5,81,92.05
7,18,87.12,1,2,38,95.58
7,19,88.84,1,2,30,100.25
7,20,93.58000000000001,1,3,53,100.84
7,21,94.33000000000001,1,2,34,107.28
7,22,96.06,1,5,78,104.52
7,23,98.34,1,0,10,105.87
7,24,101.38000000000001,1,1,17,108.57
7,25,109.07000000000001,1,2,35,116.82
7,26,110.18,1,4,67,117.37
7,27,113.79,1,3,50,120.82
7,28,118.28,1,5,88,127.01
7,29,118.52000000000001,2,0,7,130.8
7,30,123.2,1,5,79,134.04
7,31,124.13000000000001,2,1,21,136.93
7,32,124.47,2,5,82,145.42
7,33,139.34,1,3,54,147.27
7,34,156.19,1,2,44,165.32
7,35,164.45000000000002,1,0,8,171.71
7,36,166.27,1,4,61,172.8
7,37,166.78,1,0,12,178.34
7,38,172.55,1,3,49,180.48
7,39,175.45000000000002,1,2,37,183.24
7,40,176.1,1,3,48,186.84
7,41,179.51000000000002,1,1,25,187.64
7,42,179.69,1,3,56,193.47
7,43,191.69,1,2,43,200.42
7,44,193.19,1,0,2,199.78
7,45,198.62,1,2,42,207.35
7,46,200.49,1,2,33,213.71
7,47,204.16,2,0,9,219.12
7,48,208.11,1,2,40,220.34
7,49,209.14000000000001,1,4,69,217.67
7,50,226.6,1,1,16,233.13
7,51,234.06,1,0,0,239.63
7,52,248.09,1,1,27,256.22
7,53,259.34999999999997,1,4,71,267.48
7,54,263.9,1,3,46,269.83
7,55,276.65,1,2,32,284.44
7,56,277.10999999999996,1,2,36,290.09
7,57,278.2,1,0,1,284.13
7,58,278.44,1,0,11,290.76
7,59,280.4,1,4,63,288.26
7,60,282.85999999999996,1,1,24,291.39
7,61,284.45,1,0,3,297.12
7,62,293.27,1,4,68,301.13
7,63,295.47999999999996,1,0,6,302.77
7,64,297.12,1,3,57,304.65
7,65,301.03999999999996,1,4,70,309.17
7,66,301.79999999999995,1,1,18,309.66
7,67,309.9,1,5,89,319.03
7,68,310.28999999999996,1,4,64,318.82
7,69,331.96,1,3,51,338.51
7,70,339.34999999999997,1,4,60,346.5
7,71,340.46,1,5,83,348.92
7,72,340.48999999999995,1,5,76,353.95
7,73,348.94,1,2,31,356.07
7,74,355.07,1,0,14,363.0
7,75,361.59999999999997,1,4,73,369.73
7,76,368.97999999999996,1,4,62,376.84
7,77,369.35999999999996,1,3,47,375.95
7,78,371.58,1,3,52,381.64
7,79,372.2,1,2,39,381.33
7,80,382.14,1,5,77,389.93
7,81,387.02,1,1,28,395.15
7,82,389.03,1,3,55,396.56
7,83,389.35999999999996,1,4,66,397.49
7,84,391.21999999999997,1,5,86,399.95
7,85,393.19,2,2,41,408.55
7,86,399.72999999999996,1,0,13,407.26
7,87,404.79999999999995,1,4,65,411.95
7,88,415.71,1,1,23,423.57
7,89,418.90999999999997,3,5,80,437.96
8,0,0.0,1,3,52,6.59
8,1,15.049999999999999,1,1,16,21.58
8,2,21.63,1,0,13,29.16
8,3,26.2,1,3,50,32.75
8,4,27.04,1,4,72,35.17
8,5,27.889999999999997,1,4,71,41.8
8,6,28.189999999999998,1,1,24,36.72
8,7,38.25,1,5,89,47.38
8,8,42.839999999999996,1,3,46,48.77
8,9,49.0,1,3,49,56.93
8,10,49.1,1,2,30,55.87
8,11,66.62,1,5,80,74.37
8,12,75.55000000000001,1,5,84,84.68
8,13,76.75,1,4,69,85.28
8,14,77.75,1,1,15,83.92
8,15,78.76,1,5,88,91.31
8,16,80.58000000000001,1,4,61,90.31
8,17,84.30000000000001,1,2,31,91.43
8,18,87.12,1,3,57,94.65
8,19,88.84,1,2,40,98.06
8,20,93.58000000000001,1,5,87,102.31
8,21,94.33000000000001,1,0,7,100.92
8,22,96.06,1,1,28,104.19
8,23,98.34,1,4,63,106.2
8,24,101.38000000000001,1,3,48,108.64
8,25,109.07000000000001,1,5,86,117.8
8,26,110.18,1,5,81,123.45
8,27,113.79,1,0,0,119.36
8,28,118.28,1,0,9,126.39
8,29,118.52000000000001,2,4,68,132.74
8,30,123.2,1,1,20,130.35
8,31,124.13000000000001,2,4,60,142.08
8,32,124.47,2,4,65,153.38
8,33,139.34,1,0,6,145.89
8,34,156.19,1,0,11,163.72
8,35,164.45000000000002,1,1,23,172.31
8,36,166.27,1,0,2,172.86
8,37,166.78,1,5,78,175.24
8,38,172.55,1,2,35,180.3
8,39,175.45000000000002,1,4,74,183.98
8,40,176.1,1,1,25,184.23
8,41,179.51000000000002,1,3,54,187.44
8,42,179.69,1,0,14,187.62
8,43,191.69,1,5,83,200.15
8,44,193.19,1,1,18,201.05
8,45,198.62,1,2,32,206.41
8,46,200.49,1,0,10,208.02
8,47,204.16,2,3,56,218.32
8,48,208.11,1,4,70,216.24
8,49,209.14000000000001,1,5,79,218.27
8,50,226.6,1,3,59,234.53
8,51,234.06,1,3,45,239.63
8,52,248.09,1,5,82,255.88
8,53,259.34999999999997,1,1,21,266.5
8,54,263.9,1,5,85,272.63
8,55,276.65,1,2,43,285.38
8,56,277.10999999999996,1,3,55,284.64
8,57,278.2,1,2,38,291.74
8,58,278.44,1,1,19,286.97
8,59,280.4,1,4,62,287.59
8,60,282.85999999999996,1,5,75,289.63
8,61,284.45,1,4,66,293.24
8,62,293.27,1,0,1,299.2
8,63,295.47999999999996,1,4,64,304.01
8,64,297.12,1,1,27,305.25
8,65,301.03999999999996,1,3,51,307.59
8,66,301.79999999999995,1,2,36,309.55
8,67,309.9,1,2,37,317.69
8,68,310.28999999999996,1,3,47,316.88
